system:index,doa,mean_std,stats_percentile,.geo
20181004T110911_20181004T111207_T30TUT,201810277,"{B2_mean=198.40135009557045, B2_stdDev=73.89447329051958, B3_mean=136.29552269353496, B3_stdDev=111.03966577250569, B4_mean=61.92336353918262, B4_stdDev=129.3193360594891, B5_mean=66.17439347316513, B5_stdDev=184.88419006873093, B6_mean=69.05448913520436, B6_stdDev=296.42984756942207, B7_mean=73.86398056767821, B7_stdDev=338.65282439695875, B8_mean=69.35355376415144, B8_stdDev=363.03505508595043, B8A_mean=71.99697613040759, B8A_stdDev=384.99729754023355, B11_mean=57.6310963610456, B11_stdDev=351.8366352449211, B12_mean=41.55132223487515, B12_stdDev=235.5906853964055}","{B2_p2=154.46886336154776, B2_p98=267.7756649586394, B3_p2=88.35035363537162, B3_p98=270.0949494949495, B4_p2=26.998689149807333, B4_p98=70.41191375680611, B5_p2=25.170394963444007, B5_p98=69.73942825055678, B6_p2=20.688107620986287, B6_p98=68.67444125879311, B7_p2=20.837635426010962, B7_p98=68.53812512558001, B8_p2=17.64143337285359, B8_p98=38.071264423826605, B8A_p2=17.286264293808575, B8A_p98=38.37707061853746, B11_p2=12.090859607070897, B11_p98=43.10240112994351, B12_p2=12.188577222679587, B12_p98=12.188577222679587}",
20181004T110911_20181004T111207_T30TVT,201810277,"{B2_mean=188.1455687915481, B2_stdDev=139.60669573034073, B3_mean=178.8721907955876, B3_stdDev=228.40634132041063, B4_mean=122.4590274436472, B4_stdDev=279.6553026422237, B5_mean=172.6555916689105, B5_stdDev=407.9028951727742, B6_mean=283.60378078481654, B6_stdDev=714.1251906302859, B7_mean=326.9597694252325, B7_stdDev=832.0418906441432, B8_mean=346.8865122019927, B8_stdDev=893.7834748139587, B8A_mean=364.7514089420893, B8A_stdDev=941.623275636209, B11_mean=312.40309398805806, B11_stdDev=835.0553797454058, B12_mean=204.17837592602916, B12_stdDev=562.1903153851752}","{B2_p2=91.0387830137416, B2_p98=655.2642152227934, B3_p2=58.87336941638693, B3_p98=942.8930970979467, B4_p2=19.199779974782167, B4_p98=1102.9426899843515, B5_p2=16.997549472166668, B5_p98=1519.5994375251103, B6_p2=12.34078028146731, B6_p98=2447.1776024613487, B7_p2=12.488666262581607, B7_p98=2863.1020108373136, B8_p2=10.649357464654596, B8_p98=3087.519189432416, B8A_p2=10.587756130153048, B8A_p98=3247.240325631943, B11_p2=9.927530130290892, B11_p98=3183.302457019888, B12_p2=11.756688055887649, B12_p98=2223.2326692200195}",
20181004T110911_20181004T111207_T30UUU,201810277,"{B2_mean=386.35276287116125, B2_stdDev=244.44315229129708, B3_mean=566.5461147171784, B3_stdDev=358.14156925383355, B4_mean=540.0469966192908, B4_stdDev=487.7497872097697, B5_mean=874.6116419183625, B5_stdDev=643.2081364702042, B6_mean=1593.0542048140408, B6_stdDev=1138.6042466611261, B7_mean=1837.3373799858368, B7_stdDev=1322.1621098925311, B8_mean=1951.3859428551746, B8_stdDev=1415.6252972463526, B8A_mean=2062.975058531757, B8A_stdDev=1478.0791482569043, B11_mean=1709.8792508340332, B11_stdDev=1289.8352797969137, B12_mean=1090.277457244717, B12_stdDev=942.7656527775748}","{B2_p2=199.8693646224233, B2_p98=951.960272076085, B3_p2=159.04483009980936, B3_p98=1374.1896968569833, B4_p2=59.342889588823894, B4_p98=1822.1416335270726, B5_p2=57.64665626522037, B5_p98=2142.069738480697, B6_p2=51.21191034175377, B6_p98=3550.5590551181103, B7_p2=51.03718204451748, B7_p98=4063.2361344537817, B8_p2=47.52390930744414, B8_p98=4318.419135308247, B8A_p2=46.29020891414754, B8A_p98=4446.31871016123, B11_p2=19.409049804754403, B11_p98=3933.9761904761904, B12_p2=16.63954453921071, B12_p98=3230.4142512077296}",
20181004T110911_20181004T111207_T30UVU,201810277,"{B2_mean=402.03070525051487, B2_stdDev=196.2391144918495, B3_mean=652.4553792690868, B3_stdDev=266.4548140206652, B4_mean=639.9472773684116, B4_stdDev=400.73195883602756, B5_mean=1092.0613355882329, B5_stdDev=441.925082787782, B6_mean=2137.314923603097, B6_stdDev=725.5452275703199, B7_mean=2486.066107848389, B7_stdDev=847.3897431151133, B8_mean=2659.8199966627417, B8_stdDev=895.0740745572932, B8A_mean=2791.4684812360642, B8A_stdDev=928.8101862262859, B11_mean=2157.492699478827, B11_stdDev=840.6650376300846, B12_mean=1359.883975780389, B12_stdDev=732.5327439923204}","{B2_p2=148.5004897415471, B2_p98=878.7491520109045, B3_p2=177.37140447145924, B3_p98=1294.5855321831662, B4_p2=73.47727292905584, B4_p98=1679.0051666152406, B5_p2=58.0397181471, B5_p98=2014.0316345799736, B6_p2=52.903464296968636, B6_p98=3550.384318210324, B7_p2=52.12381161582856, B7_p98=4062.8426116741034, B8_p2=46.789096559986774, B8_p98=4239.374556011137, B8A_p2=44.02119123189687, B8A_p98=4382.878563204027, B11_p2=21.10921842334022, B11_p98=3742.6632622127395, B12_p2=20.040378652909155, B12_p98=3102.894003699982}",
20181004T110911_20181004T111207_T30UVV,201810277,"{B2_mean=672.5821330387673, B2_stdDev=1023.4613968263404, B3_mean=638.9786757313506, B3_stdDev=984.8535897901634, B4_mean=543.3630350454853, B4_stdDev=988.872518353571, B5_mean=597.9447740448004, B5_stdDev=1048.0966892273436, B6_mean=688.5565353260288, B6_stdDev=1140.6171528118969, B7_mean=722.8124615139718, B7_stdDev=1195.3829969992269, B8_mean=739.7662846517966, B8_stdDev=1224.035262873138, B8A_mean=754.5191380667363, B8A_stdDev=1245.9518808067805, B11_mean=743.5061114187088, B11_stdDev=1209.7622752750954, B12_mean=670.1085811875857, B12_stdDev=1136.3395306055306}","{B2_p2=170.4843921066835, B2_p98=4256.0311018523735, B3_p2=116.90656927240181, B3_p98=4062.2349946437857, B4_p2=30.92580921002484, B4_p98=3935.6761545020127, B5_p2=19.583685153942685, B5_p98=4063.304952779179, B6_p2=11.386147113874824, B6_p98=3934.808414618878, B7_p2=8.278386607035712, B7_p98=4047.175544700317, B8_p2=9.381673043857571, B8_p98=4078.8585605534918, B8A_p2=10.131599162951757, B8A_p98=4110.792624277674, B11_p2=10.69290189749074, B11_p98=4143.052066491512, B12_p2=13.70693030110043, B12_p98=4175.936564385478}",
20181005T113319_20181005T113314_T29UQP,201810278,"{B2_mean=415.47700927596355, B2_stdDev=884.3968982830996, B3_mean=327.7736636282806, B3_stdDev=835.2783865121689, B4_mean=290.51312423289414, B4_stdDev=797.8134678009088, B5_mean=283.13943361853273, B5_stdDev=789.4694021993116, B6_mean=275.6658281055066, B6_stdDev=768.3689204399352, B7_mean=279.95114053668584, B7_stdDev=770.3396581962276, B8_mean=289.05486617583733, B8_stdDev=794.9232398128945, B8A_mean=278.9159377445472, B8A_stdDev=760.0315609107262, B11_mean=314.71154040717596, B11_stdDev=794.5923910115141, B12_mean=348.8160909881835, B12_stdDev=847.2985595709793}","{B2_p2=35.68134634055995, B2_p98=3872.3768654809364, B3_p2=13.10424977412399, B3_p98=3550.9452259825975, B4_p2=3.8814235030501902, B4_p98=3423.4086799342845, B5_p2=2.8815469131807365, B5_p98=3360.1963958046254, B6_p2=2.7933905051730603, B6_p98=3295.024823225385, B7_p2=3.081644732131503, B7_p98=3294.4830486916107, B8_p2=3.1564910458555375, B8_p98=3358.8212806265997, B8A_p2=3.271458871511221, B8A_p98=3231.7907038306826, B11_p2=4.291392203181653, B11_p98=3343.7629885466445, B12_p2=8.862117193874441, B12_p98=3535.895813139398}",
20181005T113319_20181005T113314_T30UUU,201810278,"{B2_mean=23.27685276119933, B2_stdDev=62.639098688351, B3_mean=8.138380299451885, B3_stdDev=48.94257973812881, B4_mean=5.62225127682821, B4_stdDev=39.50029109937352, B5_mean=6.478762517067843, B5_stdDev=44.47753350619993, B6_mean=5.859683392412526, B6_stdDev=40.42719130733631, B7_mean=5.819138156153939, B7_stdDev=38.8907711574596, B8_mean=5.86141995924708, B8_stdDev=39.73506236059017, B8A_mean=5.577471278979554, B8A_stdDev=37.03961906438623, B11_mean=9.6621221037394, B11_stdDev=44.93056780670022, B12_mean=15.325253846762022, B12_stdDev=52.97747955949618}","{B2_p2=3.2344814388319127, B2_p98=166.9411019858761, B3_p2=1.2177648903013158, B3_p98=103.22976054732041, B4_p2=1.0347214998903795, B4_p98=39.313006193425444, B5_p2=1.035490509454918, B5_p98=71.30869700328844, B6_p2=1.0323903508587033, B6_p98=55.34906658978563, B7_p2=1.0393092772659036, B7_p98=55.3875236294896, B8_p2=1.0414783694888203, B8_p98=55.15930997885266, B8A_p2=1.0386362871667518, B8A_p98=55.36724433469451, B11_p2=1.2066292237716336, B11_p98=131.432938597461, B12_p2=3.39828360884081, B12_p98=155.35083114610674}",
20181007T112111_20181007T112305_T29UQP,201810280,"{B2_mean=275.7527769547873, B2_stdDev=933.1840747941702, B3_mean=235.84884929475086, B3_stdDev=876.4655815183397, B4_mean=199.57543204719067, B4_stdDev=842.507998205775, B5_mean=205.2468021936374, B5_stdDev=860.0097415427408, B6_mean=196.8200291103474, B6_stdDev=831.5246362705002, B7_mean=195.62792003810142, B7_stdDev=813.5909286313843, B8_mean=203.27889162431353, B8_stdDev=839.9622775755248, B8A_mean=197.02955155782092, B8A_stdDev=804.3072355454719, B11_mean=229.0366672415112, B11_stdDev=734.7523050140659, B12_mean=228.78321568827553, B12_stdDev=694.4024058368543}","{B2_p2=48.252460695738534, B2_p98=3134.895417156287, B3_p2=23.255661681053326, B3_p98=2911.2620087336245, B4_p2=8.735434458526028, B4_p98=2782.0930734092954, B5_p2=8.706158207987002, B5_p98=2846.0407474718395, B6_p2=6.940774662455244, B6_p98=2782.696808510638, B7_p2=8.751077507066912, B7_p98=2847.835849056604, B8_p2=10.581422700492887, B8_p98=2975.4808429118775, B8A_p2=11.55597796820232, B8A_p98=2848.129363449692, B11_p2=42.064187118083844, B11_p98=2783.2335115864526, B12_p2=47.0279706999614, B12_p98=2784.174740484429}",
20181007T112111_20181007T112305_T30TUT,201810280,"{B2_mean=56.88539506694996, B2_stdDev=104.60921546354687, B3_mean=56.661553648885345, B3_stdDev=106.35116075403738, B4_mean=47.463274928357166, B4_stdDev=107.85024062093122, B5_mean=54.19328018364731, B5_stdDev=127.1653540107633, B6_mean=54.299732032793564, B6_stdDev=177.10425094412443, B7_mean=63.157213895264064, B7_stdDev=196.63581981923835, B8_mean=70.89205341670795, B8_stdDev=216.6775962590996, B8A_mean=73.45099764516192, B8A_stdDev=218.5242566435117, B11_mean=118.44844988783194, B11_stdDev=183.11637597787782, B12_mean=116.05295861397462, B12_stdDev=136.341740915726}","{B2_p2=39.56682507676469, B2_p98=151.76444569099095, B3_p2=22.819315881742135, B3_p98=173.77849459303354, B4_p2=18.699733821012078, B4_p98=140.89324665819706, B5_p2=17.261300779645545, B5_p98=141.06079265702286, B6_p2=16.64428299559242, B6_p98=107.47162443199112, B7_p2=17.299826440860365, B7_p98=140.44880672134687, B8_p2=19.68101247731346, B8_p98=140.56327348237986, B8A_p2=17.72262102330535, B8A_p98=139.86525700507858, B11_p2=55.92296501797265, B11_p98=169.33304193250171, B12_p2=57.022694455928026, B12_p98=135.79970583241655}",
20181007T112111_20181007T112305_T30TVT,201810280,"{B2_mean=882.5177549345718, B2_stdDev=1670.9586382726284, B3_mean=836.3839110493861, B3_stdDev=1597.3357042484897, B4_mean=772.6027687611446, B4_stdDev=1562.7633353985498, B5_mean=828.8550507703733, B5_stdDev=1620.2364838032993, B6_mean=887.2233857284998, B6_stdDev=1642.3694838615731, B7_mean=910.7567678074626, B7_stdDev=1652.755584399565, B8_mean=931.7697466812339, B8_stdDev=1697.6584177638779, B8A_mean=932.7065259032814, B8A_stdDev=1676.8955103577164, B11_mean=841.8086405856039, B11_stdDev=1447.7705248516681, B12_mean=739.1255610466045, B12_stdDev=1293.1333317366057}","{B2_p2=177.85906051780526, B2_p98=7008.362994350283, B3_p2=170.21223924784564, B3_p98=6624.05067249369, B4_p2=110.71687130120071, B4_p98=6431.484093693159, B5_p2=110.31466943338226, B5_p98=6623.946584478261, B6_p2=107.9397200663948, B6_p98=6559.105068836046, B7_p2=107.79504911687694, B7_p98=6494.648704310966, B8_p2=107.7433719733516, B8_p98=6624.2136869501355, B8A_p2=106.30349175920453, B8A_p98=6495.280655549989, B11_p2=110.19093235406592, B11_p98=5534.687505642462, B12_p2=110.3531718364698, B12_p98=4959.257181170659}",
